facility_id,flag,severity,detail
SC01065,ddf_name_collision,WARN,site name 'LITTLE RIVER' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
ME00070,ddf_name_collision,WARN,site name 'EEL WEIR' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
OH00007,ddf_name_collision,WARN,site name 'DILLON DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
LA00180,ddf_name_collision,WARN,site name 'WALLACE LAKE DAM' shared by 5 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
AL01418,ddf_name_collision,WARN,site name 'LAY' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
OK22194,ddf_name_collision,WARN,site name 'MCGEE LAKE' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
MA00886,ddf_name_collision,WARN,site name 'WACHUSETT RESERVOIR DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
MO12084,ddf_name_collision,WARN,site name 'SMITHVILLE DAM' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
MN00097,ddf_name_collision,WARN,site name 'PELICAN LAKE' shared by 5 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
AL01423,ddf_name_collision,WARN,site name 'JORDAN' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TX00019,ddf_name_collision,WARN,site name 'BARKER DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
ME00089,ddf_name_collision,WARN,site name 'WYMAN' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
OH00003,ddf_name_collision,WARN,site name 'DOVER DAM' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TX04627,ddf_name_collision,WARN,site name 'SQUAW CREEK DAM' shared by 4 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
ME00026,ddf_name_collision,WARN,site name 'UPPER DAM' shared by 5 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
KS00006,ddf_name_collision,WARN,site name 'MARION LAKE' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TX03547,ddf_name_collision,WARN,site name 'MARTIN LAKE DAM' shared by 10 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
MN00612,ddf_name_collision,WARN,site name 'ISLAND LAKE' shared by 4 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
MD00003,ddf_name_collision,WARN,site name 'LIBERTY DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
AL05902,ddf_name_collision,WARN,site name 'CEDAR CREEK' shared by 6 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
AL01424,ddf_name_collision,WARN,site name 'MITCHELL' shared by 6 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
MN00046,ddf_name_collision,WARN,site name 'PELICAN LAKE' shared by 5 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
AK00044,ddf_name_collision,WARN,site name 'LONG LAKE DAM' shared by 7 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
AK00002,ddf_name_collision,WARN,site name 'BLUE LAKE' shared by 6 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
OH00737,ddf_name_collision,WARN,site name 'HOOVER DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
ME00264,ddf_name_collision,WARN,site name 'GRAHAM LAKE DAM' shared by 4 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
AL00017,ddf_name_collision,WARN,site name 'BIG CREEK LAKE' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
MI00205,ddf_name_collision,WARN,site name 'WAY' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
LA00385,ddf_name_collision,WARN,site name 'CANEY CREEK DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
AK83013,ddf_name_collision,WARN,site name 'SWAN LAKE' shared by 6 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
NY00216,ddf_name_collision,WARN,site name 'LAKE PLACID DAM' shared by 8 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
OK20508,ddf_name_collision,WARN,site name 'BIRCH LAKE' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
ME00266,ddf_name_collision,WARN,site name 'GREEN LAKE' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
MN82426,ddf_name_collision,WARN,site name 'KETCHUM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
ND01031,ddf_name_collision,WARN,site name 'MAPLE RIVER DAM' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
OH00008,ddf_name_collision,WARN,site name 'DEER CREEK DAM' shared by 4 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TX03453,ddf_name_collision,WARN,site name 'LAKE CHEROKEE DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
MN00577,ddf_name_collision,WARN,site name 'WHITE ROCK DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
WI00808,ddf_name_collision,WARN,site name 'TWIN LAKES' shared by 12 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
MN00579,ddf_name_collision,WARN,site name 'MARSH LAKE DAM' shared by 6 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TX04380,ddf_name_collision,WARN,site name 'CEDAR CREEK DAM' shared by 5 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TX00244,ddf_name_collision,WARN,site name 'MUD CREEK DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
CO00515,ddf_name_collision,WARN,site name 'ADOBE CREEK' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
LA00029,ddf_name_collision,WARN,site name 'TURKEY CREEK DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
CA00398,ddf_name_collision,WARN,site name 'SCOTT' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
AL05901,ddf_name_collision,WARN,site name 'BEAR CREEK' shared by 6 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
ME00090,ddf_name_collision,WARN,site name 'INDIAN POND' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
NY00689,ddf_name_collision,WARN,site name 'LEWISTON' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
WA00256,ddf_name_collision,WARN,site name 'MORSE LAKE DAM' shared by 4 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
CA00049,ddf_name_collision,WARN,site name 'CEDAR SPRINGS' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
CO00004,ddf_name_collision,WARN,site name 'BEAR CREEK' shared by 6 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
AL05903,ddf_name_collision,WARN,site name 'LITTLE BEAR CREEK' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
NY00674,ddf_name_collision,WARN,site name 'BRADFORD DAM' shared by 4 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
PA00484,ddf_name_collision,WARN,site name 'BEAVER RUN' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
UT10120,ddf_name_collision,WARN,site name 'ECHO' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TX00579,ddf_name_collision,WARN,site name 'FISH CREEK DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
MI00620,ddf_name_collision,WARN,site name 'LAKE COLUMBIA DAM' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
MN00043,ddf_name_collision,WARN,site name 'WASHBURN LAKE' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
WV06128,ddf_name_collision,WARN,site name 'LAKE LYNN' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TX01417,ddf_name_collision,WARN,site name 'LAKE LEON DAM' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
UT00235,ddf_name_collision,WARN,site name 'OTTER CREEK' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TX00692,ddf_name_collision,WARN,site name 'FAIRFIELD LAKE DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
MN00198,ddf_name_collision,WARN,site name 'PELICAN LAKE' shared by 5 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
OH00596,ddf_name_collision,WARN,site name 'INDIAN LAKE DAM' shared by 12 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
CA00433,ddf_name_collision,WARN,site name 'FLORENCE LAKE' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
PA00912,ddf_name_collision,WARN,site name 'GLENDALE' shared by 4 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
MN00213,ddf_name_collision,WARN,site name 'LITTLE PINE LAKE' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
WI00774,ddf_name_collision,WARN,site name 'WILLOW' shared by 4 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
AR01478,ddf_name_collision,WARN,site name 'LAKE COLUMBIA DAM' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
CA00255,ddf_name_collision,WARN,site name 'ROLLINS' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
ID00259,ddf_name_collision,WARN,site name 'GOOSE LAKE' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
NE01051,ddf_name_collision,WARN,site name 'SUTHERLAND' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TN17704,ddf_name_collision,WARN,site name 'GREAT FALLS' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TX00827,ddf_name_collision,WARN,site name 'MOUNTAIN CREEK DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
AR00001,ddf_name_collision,WARN,site name 'LAKE WINONA DAM' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
CA00109,ddf_name_collision,WARN,site name 'SAVAGE' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
OR10020,ddf_name_collision,WARN,site name 'SCOGGINS' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
CA00770,ddf_name_collision,WARN,site name 'VAIL' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
CA00106,ddf_name_collision,WARN,site name 'BARRETT' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
OR00012,ddf_name_collision,WARN,site name 'FOSTER' shared by 4 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
CO00016,ddf_name_collision,WARN,site name 'JACKSON LAKE' shared by 4 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
IA00415,ddf_name_collision,WARN,site name 'LAKE PANORAMA DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
WA00277,ddf_name_collision,WARN,site name 'TWIN LAKES' shared by 12 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
OR00685,ddf_name_collision,WARN,site name 'SCOGGINS' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
OR00258,ddf_name_collision,WARN,site name 'OXBOW' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
ID00057,ddf_name_collision,WARN,site name 'OXBOW' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
MN00187,ddf_name_collision,WARN,site name 'LONG LAKE' shared by 8 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
NY00397,ddf_name_collision,WARN,site name 'CRANBERRY LAKE' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
WI00780,ddf_name_collision,WARN,site name 'EAU GALLE' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
LA00027,ddf_name_collision,WARN,site name 'SIBLEY LAKE DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
CA00759,ddf_name_collision,WARN,site name 'LAKE ARROWHEAD' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
MN00678,ddf_name_collision,WARN,site name 'SWAN LAKE' shared by 6 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
SC00632,ddf_name_collision,WARN,site name 'LAKE ROBINSON DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
NH00259,ddf_name_collision,WARN,site name 'WILDER' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
NH00097,ddf_name_collision,WARN,site name 'VERNON' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
OH00006,ddf_name_collision,WARN,site name 'ATWOOD DAM' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
UT10128,ddf_name_collision,WARN,site name 'MOON LAKE' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TX00583,ddf_name_collision,WARN,site name 'BUCKNER DAM' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
