facility_id,reasons
CO00249,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00299,synthetic_cloud_unauditable
CO00307,ddf_name_collision
CO00363,ddf_name_collision
CO00366,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00372,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00375,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00382,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00384,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00387,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00397,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00429,ddf_name_collision
CO00434,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00457,ddf_name_collision
CO00487,ddf_name_collision
CO00515,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00543,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00577,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00620,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00639,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00640,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00661,ddf_name_collision
CO00664,ddf_name_collision
CO00671,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00681,ddf_name_collision
CO00693,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00694,ddf_name_collision
CO00695,ddf_name_collision
CO00713,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00734,ddf_name_collision
CO00763,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00780,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00792,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00803,ddf_name_collision
CO00811,ddf_name_collision
CO00818,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00852,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00853,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00856,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00857,ddf_name_collision
CO00866,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00875,synthetic_cloud_unauditable
CO00895,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00925,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00930,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00982,ddf_name_collision
CO00993,ddf_name_collision;tail_sensitivity_lost_name_collision
CO00995,ddf_name_collision
CO01008,ddf_name_collision;tail_sensitivity_lost_name_collision
CO01020,ddf_name_collision;tail_sensitivity_lost_name_collision
CO01023,ddf_name_collision;tail_sensitivity_lost_name_collision
CO01031,ddf_name_collision
CO01036,ddf_name_collision;tail_sensitivity_lost_name_collision
CO01046,ddf_name_collision;tail_sensitivity_lost_name_collision
CO01066,ddf_name_collision
CO01106,ddf_name_collision;tail_sensitivity_lost_name_collision
CO01116,ddf_name_collision;tail_sensitivity_lost_name_collision
CO01125,ddf_name_collision;tail_sensitivity_lost_name_collision
CO01143,ddf_name_collision;tail_sensitivity_lost_name_collision
CO01147,ddf_name_collision
CO01163,ddf_name_collision
CO01174,ddf_name_collision;tail_sensitivity_lost_name_collision
CO01187,ddf_name_collision
CO01193,ddf_name_collision;tail_sensitivity_lost_name_collision
CO01199,ddf_name_collision
CO01200,ddf_name_collision
CO01241,ddf_name_collision;tail_sensitivity_lost_name_collision
CO01250,ddf_name_collision
