facility_id,name_bor,name_nid,state,latitude,longitude,elevation_m_bor,nid_storage_acreft,duration,match_key,coord_shift_km,cohort,band_bound,nid_rank,est_completed_utc,fullT_resolved,n_stations_bor_pre,n_stations_nid,H1_bor_pre,H1_nid,chosen_dist_bor_pre,chosen_dist_nid,depth_nid_T100,depth_bor_pre_T100,depth_bor_post_T100,depth_nid_T10000,depth_bor_pre_T10000,depth_bor_post_T10000,depth_10k_nid_diag,depth_10k_bor_pre_diag,reldiff_T100_vs_pre_pct,reldiff_T10000_vs_pre_pct,reldiff_T100_vs_post_pct,reldiff_T10000_vs_post_pct,reldiff_T10000_diag_vs_pre_pct,scale_ratio_pre,shape_spread_pre_pct,scale_ratio_post,shape_spread_post_pct,exact_all_T_vs_bor_pre
CA01397,BRICK FLAT PIT CONTAINMENT,BRICK FLAT PIT CONTAINMENT,CA,40.6744,-122.5282,850,255,24h,nid_facility_id,0.0,wide_band,True,26851.0,2026-08-16 04:30:34.426666752+00:00,True,42,46,0.612,0.922,GLO,GEV,177.74,171.42,176.97,280.97,373.49,385.57,281.0,373.5,3.6869,-24.7717,0.4351,-27.1287,-24.7657,1.0188,34.8615,0.9868,34.8644,False
CA01397,BRICK FLAT PIT CONTAINMENT,BRICK FLAT PIT CONTAINMENT,CA,40.6744,-122.5282,850,255,72h,nid_facility_id,0.0,wide_band,True,26851.0,2026-08-16 04:30:34.426666752+00:00,True,40,45,0.681,0.867,GEV,GEV,285.5,288.1,293.44,418.06,452.08,460.47,418.1,452.1,-0.9025,-7.5252,-2.7058,-9.2102,-7.5205,0.9855,15.732,0.9675,15.7297,False
CA10135,BOCA,BOCA,CA,39.3901,-120.0955,1752,40870,24h,nid_facility_id,0.0,wide_band,True,1441.0,2026-08-12 05:48:11.837499904+00:00,True,39,40,0.706,0.562,GEV,GEV,197.49,198.15,198.44,367.59,374.08,374.62,367.6,374.1,-0.3331,-1.7349,-0.4787,-1.8766,-1.7375,0.9956,2.8449,0.9942,2.836,False
CA10135,BOCA,BOCA,CA,39.3901,-120.0955,1752,40870,72h,nid_facility_id,0.0,wide_band,True,1441.0,2026-08-12 05:48:11.837499904+00:00,True,41,43,0.413,0.787,GEV,GEV,336.16,341.6,343.2,654.39,673.02,676.16,654.4,673.0,-1.5925,-2.7681,-2.0513,-3.2197,-2.7637,0.9832,2.2748,0.9786,2.2743,False
CA10136,BRADBURY,BRADBURY,CA,34.5872,-119.9815,229,206900,24h,nid_facility_id,0.0,narrow_band,,447.0,,True,26,26,0.756,0.756,GNO,GNO,173.38,173.38,172.8,324.99,324.99,323.92,325.0,325.0,0.0,0.0,0.3356,0.3303,0.0,1.0,0.0,1.0033,0.0082,True
CA10136,BRADBURY,BRADBURY,CA,34.5872,-119.9815,229,206900,72h,nid_facility_id,0.0,narrow_band,,447.0,,True,27,27,-0.667,-0.667,PE3,PE3,247.37,247.37,237.51,424.42,424.42,407.51,424.4,424.4,0.0,0.0,4.1514,4.1496,0.0,1.0,0.0,1.0415,0.0132,True
CA10139,CASITAS,CASITAS,CA,34.3714,-119.3353,186,283727,24h,nid_facility_id,0.0,narrow_band,,385.0,,True,45,45,-0.366,-0.366,GNO,GNO,208.27,208.27,158.8,388.16,388.16,295.96,388.2,388.2,0.0,0.0,31.1524,31.1529,0.0,1.0,0.0,1.3115,0.0095,True
CA10139,CASITAS,CASITAS,CA,34.3714,-119.3353,186,283727,72h,nid_facility_id,0.0,narrow_band,,385.0,,True,47,47,-1.392,-1.392,PE3,PE3,308.71,308.71,226.41,529.84,529.84,388.6,529.8,529.8,0.0,0.0,36.35,36.3459,0.0,1.0,0.0,1.3635,0.0126,True
CA10141,CLEAR LAKE DIKE 1,CLEAR LAKE DIKE 1,CA,41.7982,-121.1653,1375,597500,24h,nid_facility_id,0.0,narrow_band,,216.0,,True,45,45,0.893,0.893,GLO,GLO,104.87,104.87,105.79,264.26,264.26,266.58,264.3,264.3,0.0,0.0,-0.8696,-0.8703,0.0,1.0,0.0,0.9913,0.0168,True
CA10141,CLEAR LAKE DIKE 1,CLEAR LAKE DIKE 1,CA,41.7982,-121.1653,1375,597500,72h,nid_facility_id,0.0,narrow_band,,216.0,,True,43,43,0.748,0.748,GLO,GLO,167.37,167.37,167.82,441.99,441.99,443.18,442.0,442.0,0.0,0.0,-0.2681,-0.2685,0.0,1.0,0.0,0.9973,0.0162,True
CA10143,CONTRA LOMA,CONTRA LOMA,CA,37.967,-121.833,132,3220,24h,nid_facility_id,0.0,wide_band,True,5849.0,2026-08-13 01:34:47.284999936+00:00,True,33,54,-0.185,-0.09,GEV,GEV,133.76,232.32,199.55,257.4,420.9,361.53,257.4,420.9,-42.4242,-38.8453,-32.9692,-28.8026,-38.8453,0.5786,14.2279,0.6736,14.221,False
CA10143,CONTRA LOMA,CONTRA LOMA,CA,37.967,-121.833,132,3220,72h,nid_facility_id,0.0,wide_band,True,5849.0,2026-08-13 01:34:47.284999936+00:00,True,31,52,-1.592,0.744,GEV,GNO,187.83,422.21,367.86,324.44,850.86,741.33,324.4,850.9,-55.5127,-61.8692,-48.9398,-56.2354,-61.8757,0.4399,23.8526,0.5048,23.8471,False
CA10145,EAST PARK DAM,EAST PARK DAM,CA,39.3614,-122.5134,376,54300,24h,nid_facility_id,0.0,wide_band,True,1251.0,2026-08-12 05:02:23.962500096+00:00,True,43,51,0.067,0.391,GEV,GEV,168.85,233.94,215.78,274.31,376.49,347.26,274.3,376.5,-27.8234,-27.1402,-21.749,-21.0073,-27.1448,0.7225,3.7677,0.7833,3.7689,False
