facility_id,reasons
AL01717,ddf_name_collision;ddf_rowcount_bad
AL01720,ddf_name_collision;ddf_rowcount_bad
AL01723,ddf_name_collision;ddf_rowcount_bad
AL01754,ddf_name_collision;ddf_rowcount_bad
AL01781,ddf_name_collision;ddf_rowcount_bad
AL01789,ddf_name_collision;ddf_rowcount_bad
AL01799,ddf_name_collision;ddf_rowcount_bad
AL01813,ddf_name_collision;ddf_rowcount_bad
AL01815,ddf_name_collision;ddf_rowcount_bad
AL01818,ddf_name_collision;ddf_rowcount_bad
AL01826,ddf_name_collision;ddf_rowcount_bad
AL01827,ddf_name_collision;ddf_rowcount_bad
AL01828,ddf_name_collision;ddf_rowcount_bad
AL01830,ddf_name_collision;ddf_rowcount_bad
AL01831,ddf_name_collision;ddf_rowcount_bad
AL01835,ddf_name_collision;ddf_rowcount_bad
AL01836,ddf_name_collision;ddf_rowcount_bad
AL01838,ddf_name_collision;ddf_rowcount_bad
AL01840,ddf_name_collision;ddf_rowcount_bad
AL01842,ddf_name_collision;ddf_rowcount_bad
AL01845,ddf_name_collision;ddf_rowcount_bad
AL01849,ddf_name_collision;ddf_rowcount_bad
AL01850,ddf_name_collision;ddf_rowcount_bad
AL01853,ddf_name_collision;ddf_rowcount_bad
AL01867,ddf_name_collision;ddf_rowcount_bad
AL01868,ddf_name_collision;ddf_rowcount_bad
AL01874,ddf_name_collision;ddf_rowcount_bad
AL01882,ddf_name_collision;ddf_rowcount_bad
AL01885,ddf_name_collision;ddf_rowcount_bad
AL01886,ddf_name_collision;ddf_rowcount_bad
AL01889,ddf_name_collision;ddf_rowcount_bad
AL01891,ddf_name_collision;ddf_rowcount_bad
AL01916,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL01922,ddf_name_collision;ddf_rowcount_bad
AL01971,ddf_name_collision;ddf_rowcount_bad
AL01993,ddf_name_collision;ddf_rowcount_bad
AL01998,ddf_name_collision;ddf_rowcount_bad
AL02000,ddf_name_collision;ddf_rowcount_bad
AL02002,ddf_name_collision;ddf_rowcount_bad
AL02014,ddf_name_collision;ddf_rowcount_bad
AL02015,ddf_name_collision;ddf_rowcount_bad
AL02016,ddf_name_collision;ddf_rowcount_bad
AL02017,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL02018,ddf_name_collision;ddf_rowcount_bad
AL02020,ddf_name_collision;ddf_rowcount_bad
AL02036,ddf_name_collision
AL02037,ddf_name_collision;tail_sensitivity_lost_name_collision
AL02061,ddf_name_collision;ddf_rowcount_bad
AL02062,ddf_name_collision;ddf_rowcount_bad
AL02073,ddf_name_collision;ddf_rowcount_bad
AL02074,ddf_name_collision;ddf_rowcount_bad
AL02076,ddf_name_collision;ddf_rowcount_bad
AL02086,ddf_name_collision;ddf_rowcount_bad
AL02090,ddf_name_collision;ddf_rowcount_bad
AL02091,ddf_name_collision;ddf_rowcount_bad
AL02092,ddf_name_collision;ddf_rowcount_bad
AL02093,ddf_name_collision;ddf_rowcount_bad
AL02094,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL02095,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL02096,ddf_name_collision;ddf_rowcount_bad
AL02097,ddf_name_collision;ddf_rowcount_bad
AL02112,ddf_name_collision;ddf_rowcount_bad
AL02113,ddf_name_collision;ddf_rowcount_bad
AL02115,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL02116,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL02117,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL02118,ddf_name_collision;ddf_rowcount_bad
AL02119,ddf_name_collision;ddf_rowcount_bad
AL02120,ddf_name_collision;ddf_rowcount_bad
AL02121,ddf_name_collision;ddf_rowcount_bad
AL02122,ddf_name_collision;ddf_rowcount_bad
AL02123,ddf_name_collision;ddf_rowcount_bad
AL02124,ddf_name_collision;ddf_rowcount_bad
AL02125,ddf_name_collision;ddf_rowcount_bad
AL02126,ddf_name_collision;ddf_rowcount_bad
AL02127,ddf_name_collision;ddf_rowcount_bad
AL02128,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL02129,ddf_name_collision;ddf_rowcount_bad
AL02130,ddf_name_collision;ddf_rowcount_bad
AL02134,ddf_name_collision
AL02135,ddf_name_collision;tail_sensitivity_lost_name_collision
AL02146,ddf_name_collision;ddf_rowcount_bad
AL02147,ddf_name_collision;ddf_rowcount_bad
AL02148,ddf_name_collision;ddf_rowcount_bad
AL02149,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL02150,ddf_name_collision;ddf_rowcount_bad
AL02151,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL02152,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL02153,ddf_name_collision;ddf_rowcount_bad
AL02154,ddf_name_collision;ddf_rowcount_bad
AL02155,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL02156,ddf_name_collision;ddf_rowcount_bad
AL02157,ddf_name_collision;ddf_rowcount_bad
AL02158,ddf_name_collision;ddf_rowcount_bad
AL02183,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL02184,ddf_name_collision;ddf_rowcount_bad
AL02185,ddf_name_collision;ddf_rowcount_bad
AL02186,ddf_name_collision;ddf_rowcount_bad
AL02187,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL02188,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL02189,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL02190,ddf_name_collision;ddf_rowcount_bad
AL02191,ddf_name_collision;ddf_rowcount_bad
AL02192,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL02193,ddf_name_collision;tail_sensitivity_lost_name_collision
AL02194,ddf_name_collision;tail_sensitivity_lost_name_collision
AL02195,ddf_name_collision
AL02208,ddf_name_collision;ddf_rowcount_bad
AL02213,ddf_name_collision;ddf_rowcount_bad
AL02214,ddf_name_collision;ddf_rowcount_bad
AL02234,ddf_name_collision;ddf_rowcount_bad
AL02246,ddf_name_collision;ddf_rowcount_bad
AL02247,ddf_name_collision;ddf_rowcount_bad
AL02249,ddf_name_collision;ddf_rowcount_bad
AL02259,ddf_name_collision;ddf_rowcount_bad
AL02263,ddf_name_collision;ddf_rowcount_bad
AL02308,ddf_name_collision;ddf_rowcount_bad
AL02334,ddf_name_collision
AL02343,ddf_name_collision;ddf_rowcount_bad
AL02353,ddf_name_collision;ddf_rowcount_bad
AL02367,ddf_name_collision;tail_sensitivity_lost_name_collision
AL02420,ddf_name_collision;ddf_rowcount_bad
AL02448,ddf_name_collision;ddf_rowcount_bad
AL02449,ddf_name_collision;ddf_rowcount_bad
AL02450,ddf_name_collision;ddf_rowcount_bad
AL02455,ddf_name_collision;ddf_rowcount_bad
AL02549,ddf_name_collision;ddf_rowcount_bad
