"config","site","ok","message"
"./config/facilities/OR00022.yml","FOUR MILE LAKE DAM (USBR)",TRUE,"ok"
"./config/facilities/CO00387.yml","CRYSTAL",TRUE,"ok"
"./config/facilities/ID00282.yml","BLACK CANYON DIVERSION",TRUE,"ok"
"./config/facilities/CA10179.yml","PROSSER CREEK",TRUE,"ok"
"./config/facilities/OR00593.yml","UNITY",TRUE,"ok"
"./config/facilities/UT10125.yml","BOR LOST CREEK (MORGAN)",TRUE,"ok"
"./config/facilities/OR00592.yml","THIEF VALLEY RES.",TRUE,"ok"
"./config/facilities/CA10160.yml","KESWICK",TRUE,"ok"
"./config/facilities/OR10013.yml","HYATT",TRUE,"ok"
"./config/facilities/CO00556.yml","CRAWFORD",TRUE,"ok"
"./config/facilities/CO01691.yml","PAONIA",TRUE,"ok"
"./config/facilities/WY01298.yml","ANCHOR",TRUE,"ok"
"./config/facilities/NM00132.yml","AVALON",TRUE,"ok"
"./config/facilities/OR00591.yml","HYATT RESERVOIR",TRUE,"ok"
"./config/facilities/AZ00021.yml","CC CRAGIN",TRUE,"ok"
"./config/facilities/UT10123.yml","HYRUM",TRUE,"ok"
"./config/facilities/CO01666.yml","SHADOW MOUNTAIN",TRUE,"ok"
"./config/facilities/WA00291.yml","SALMON LAKE",TRUE,"ok"
"./config/facilities/UT10149.yml","CURRANT CREEK",TRUE,"ok"
"./config/facilities/WA00259.yml","CONCONULLY",TRUE,"ok"
"./config/facilities/WY01384.yml","GRASSY LAKE",TRUE,"ok"
"./config/facilities/OR00326.yml","WASCO DAM",TRUE,"ok"
"./config/facilities/OR10011.yml","FOURMILE LAKE",TRUE,"ok"
"./config/facilities/CO01693.yml","SILVER JACK",TRUE,"ok"
"./config/facilities/ID00285.yml","MANN CREEK",TRUE,"ok"
"./config/facilities/NE01072.yml","LAKE ALICE NO. 1",TRUE,"ok"
"./config/facilities/WA00267.yml","NORTH SCOOTENEY DIKE",TRUE,"ok"
"./config/facilities/WA00566.yml","SCOOTENEY RESERVOIR OUTLET DAM",TRUE,"ok"
"./config/facilities/WA82908.yml","SCOOTENEY DIKE 1",TRUE,"ok"
"./config/facilities/CA10165.yml","LEWISTON",TRUE,"ok"
"./config/facilities/CO01670.yml","WILLOW CREEK",TRUE,"ok"
"./config/facilities/WA00272.yml","SPECTACLE LAKE DIKE",TRUE,"ok"
"./config/facilities/UT10156.yml","BOR STATELINE SUMMIT CO.",TRUE,"ok"
"./config/facilities/CA10185.yml","SENATOR WASH",TRUE,"ok"
"./config/facilities/NE01071.yml","LAKE ALICE LOWER DAM (NO 1 1-2)",TRUE,"ok"
"./config/facilities/CA10166.yml","LITTLE PANOCHE DETENTION",TRUE,"ok"
"./config/facilities/WY01388.yml","EDEN DIKE 1",TRUE,"ok"
"./config/facilities/CA10323.yml","SAN JUSTO",TRUE,"ok"
"./config/facilities/CO00446.yml","MT. ELBERT FOREBAY",TRUE,"ok"
"./config/facilities/AZ82914.yml","REACH 11 DETENTION DIKE 4",TRUE,"ok"
"./config/facilities/MT00743.yml","HELENA VALLEY",TRUE,"ok"
"./config/facilities/WA00271.yml","SODA LAKE DIKE",TRUE,"ok"
"./config/facilities/CO01685.yml","JACKSON GULCH",TRUE,"ok"
"./config/facilities/OR00021.yml","FISH LAKE",TRUE,"ok"
"./config/facilities/CA10174.yml","NIMBUS",TRUE,"ok"
"./config/facilities/UT10116.yml","BOR CAUSEY",TRUE,"ok"
"./config/facilities/CA10362.yml","WARREN H. BROCK DIKES",TRUE,"ok"
"./config/facilities/WA00537.yml","EAGLE LAKE DAM",TRUE,"ok"
"./config/facilities/CO01683.yml","FRUITGROWERS",TRUE,"ok"
"./config/facilities/OR00287.yml","HAYSTACK",TRUE,"ok"
"./config/facilities/TX07247.yml","UPPER SAN MARCOS RIVER WS NRCS SITE 5 DAM",TRUE,"ok"
"./config/facilities/CA10190.yml","SPRING CREEK DEBRIS",TRUE,"ok"
"./config/facilities/WY01302.yml","LAKE CAMEAHWAIT",TRUE,"ok"
"./config/facilities/UT10129.yml","BOR NEWTON",TRUE,"ok"
"./config/facilities/WA00346.yml","PEC 66.0 HYDRO POWER PLANT",TRUE,"ok"
"./config/facilities/UT10122.yml","BOR HUNTINGTON NORTH",TRUE,"ok"
"./config/facilities/OR00422.yml","AGATE DAM",TRUE,"ok"
"./config/facilities/WA00276.yml","EASTON DIVERSION",TRUE,"ok"
"./config/facilities/SD01143.yml",NA,FALSE,"Need at least 5 stations to form a region; have 3."
"./config/facilities/WY01294.yml","KORTES",TRUE,"ok"
"./config/facilities/UT00315.yml","BOR WASHINGTON LAKE",TRUE,"ok"
"./config/facilities/CA10181.yml","RED BLUFF DIVERSION",TRUE,"ok"
"./config/facilities/WA00073.yml","PATTERSON LAKE DAM",TRUE,"ok"
"./config/facilities/ID00261.yml","RESERVOIR A",TRUE,"ok"
"./config/facilities/WA00264.yml","CLEAR CREEK DAM",TRUE,"ok"
"./config/facilities/WA00321.yml","WAPATO LAKE DAM",TRUE,"ok"
"./config/facilities/CA10143.yml","CONTRA LOMA",TRUE,"ok"
"./config/facilities/ID10002.yml","SOLDIERS MEADOW",TRUE,"ok"
"./config/facilities/CO01662.yml","OLYMPUS",TRUE,"ok"
"./config/facilities/WA00081.yml","ANTILON LAKE DAM",TRUE,"ok"
"./config/facilities/NM00412.yml","NAMBE FALLS",TRUE,"ok"
"./config/facilities/NE00732.yml","SEMLER DAM",TRUE,"ok"
"./config/facilities/NV10121.yml","DERBY DIVERSION",TRUE,"ok"
"./config/facilities/CA10245.yml","FUNKS",TRUE,"ok"
"./config/facilities/OR00586.yml","LOST RIVER DIVERSION",TRUE,"ok"
"./config/facilities/CO01663.yml","RATTLESNAKE",TRUE,"ok"
"./config/facilities/UT00301.yml","TRIAL LAKE",TRUE,"ok"
"./config/facilities/WY01382.yml","WILLWOOD DIVERSION",TRUE,"ok"
"./config/facilities/WY00916.yml","SAND MESA NO. 1",TRUE,"ok"
"./config/facilities/OH02253.yml","MERKLE DAM",TRUE,"ok"
"./config/facilities/WY01292.yml","GRAY REEF",TRUE,"ok"
"./config/facilities/AZ10315.yml","LAGUNA DIVERSION",TRUE,"ok"
"./config/facilities/IL50045.yml","UPPER SALT CREEK STRUCTURE 3 DAM",TRUE,"ok"
"./config/facilities/WA00315.yml","LOWER GOOSE LAKE DAM",TRUE,"ok"
"./config/facilities/CO01654.yml","FLATIRON",TRUE,"ok"
"./config/facilities/CA10182.yml","SAN JACINTO",TRUE,"ok"
"./config/facilities/UT00184.yml","BOR LOST LAKE",TRUE,"ok"
"./config/facilities/CA10200.yml","WESTSIDE DETEN DK 3",TRUE,"ok"
"./config/facilities/ND00449.yml",NA,FALSE,"Need at least 5 stations to form a region; have 2."
"./config/facilities/WA00433.yml","FRENCH CANYON DAM",TRUE,"ok"
"./config/facilities/NE03277.yml","LAKE ALICE NO. 2",TRUE,"ok"
"./config/facilities/CO01660.yml","MARYS LAKE DIKE NO. 1",TRUE,"ok"
"./config/facilities/IL50021.yml","UPPER SALT CREEK STRUCTURE 2 DAM",TRUE,"ok"
"./config/facilities/CA10164.yml","LAURO",TRUE,"ok"
"./config/facilities/WY01498.yml","SAND MESA NO. 2",TRUE,"ok"
"./config/facilities/IL50054.yml","UPPER SALT CREEK STRUCTURE 4 DAM",TRUE,"ok"
"./config/facilities/WY01379.yml","DEAVER",TRUE,"ok"
"./config/facilities/CA10180.yml","PUTAH DIV",TRUE,"ok"
"./config/facilities/WA01374.yml","SUMMER FALLS HYDRO POWER PLANT",TRUE,"ok"
"./config/facilities/AZ10316.yml","GRANITE REEF DIVERSION",TRUE,"ok"
"./config/facilities/WA82901.yml","FRENCH CANYON",TRUE,"ok"
"./config/facilities/CA10156.yml","GLEN ANNE",TRUE,"ok"
"./config/facilities/CA10199.yml","WEST SIDE DETENTION DIKE NO. 2",TRUE,"ok"
"./config/facilities/WY01288.yml","MIDDLE COTTONWOOD",TRUE,"ok"
"./config/facilities/MT00567.yml","ANITA",TRUE,"ok"
"./config/facilities/WY02102.yml","WETLANDS NO. 6",TRUE,"ok"
"./config/facilities/NM00009.yml","PERCHA DIVERSION",TRUE,"ok"
"./config/facilities/OR00587.yml","MALONE DIVERSION DAM",TRUE,"ok"
"./config/facilities/WA00629.yml","UPPER WHEELER SADDLE DAM",TRUE,"ok"
"./config/facilities/OR00585.yml","ANDERSON-ROSE DIV.",TRUE,"ok"
"./config/facilities/WA00553.yml","WB5 WASTEWAY DETENTION DAM",TRUE,"ok"
"./config/facilities/WY01383.yml","WIND RIVER DIVERSION",TRUE,"ok"
"./config/facilities/OR00031.yml","KEENE CREEK DIVERSION",TRUE,"ok"
"./config/facilities/WA01378.yml","PROSSER DIVERSION",TRUE,"ok"
"./config/facilities/WY02121.yml","PETERSON AREA-OCEAN LAKE HABITAT UNIT",TRUE,"ok"
"./config/facilities/CA10168.yml","MARTINEZ",TRUE,"ok"
"./config/facilities/WA00244.yml","PEC 22.7 HYDRO POWER PLANT",TRUE,"ok"
"./config/facilities/OR00588.yml","THREE MILES FALLS (DIV.)",TRUE,"ok"
"./config/facilities/MT82919.yml","BARRETTS DIVERSION",TRUE,"ok"
"./config/facilities/ND00577.yml","CHERRY LAKE WDA-3 DIKE 3",TRUE,"ok"
"./config/facilities/CO02317.yml","MIDDLEMIST",TRUE,"ok"
"./config/facilities/CA01397.yml","BRICK FLAT PIT CONTAINMENT",TRUE,"ok"
"./config/facilities/ND00442.yml","PIPESTONE WILD DEV POND 1",TRUE,"ok"
"./config/facilities/WY01301.yml","UPPER COTTONWOOD",TRUE,"ok"
"./config/facilities/NM00007.yml","LEASBURG DIVERSION",TRUE,"ok"
"./config/facilities/WA00482.yml","PEC 1973 POWER PLANT",TRUE,"ok"
"./config/facilities/ND00438.yml","INDIAN HILLS WDA S.1130.4",TRUE,"ok"
"./config/facilities/CA10195.yml","TERMINAL",TRUE,"ok"
"./config/facilities/CA10359.yml","RAINBOW DIVERSION",TRUE,"ok"
"./config/facilities/MT82932.yml","SAINT MARYS DIVERSION DAM",TRUE,"ok"
"./config/facilities/NM82924.yml","AMERICAN DIVERSION",TRUE,"ok"
"./config/facilities/WA00275.yml","ROZA DIVERSION DAM",TRUE,"ok"
"./config/facilities/CO82913.yml","LITTLE HELL CREEK DIVERSION",TRUE,"ok"
"./config/facilities/TX06567.yml","GRAND PRAIRIE IRRIGATION POND DAM",TRUE,"ok"
"./config/facilities/UT10144.yml","POTTERS POND NO 1 (EAST)",TRUE,"ok"
"./config/facilities/ND00546.yml","INDIAN HILLS WDA S.850.4",TRUE,"ok"
"./config/facilities/ND00576.yml","CHERRY LAKE WDA-2 DIKE 2",TRUE,"ok"
"./config/facilities/ND00477.yml","KOENIG WILD DEV. AREA #023",TRUE,"ok"
"./config/facilities/NM00008.yml","MESILLA DIVERSION",TRUE,"ok"
"./config/facilities/CA10176.yml","ORTEGA",TRUE,"ok"
"./config/facilities/ND00476.yml","KOENIG WILD DEV. AREA #008",TRUE,"ok"
"./config/facilities/WA00458.yml","EBC 4.6 HYDRO POWER PLANT",TRUE,"ok"
"./config/facilities/CA10138.yml","CARPINTERIA",TRUE,"ok"
"./config/facilities/CA00732.yml","ANOLA",TRUE,"ok"
