"site","site_id","duration","dist","T","growth_factor","depth_mm"
"DAVIS BOR","AZ10309","24h","GPA",10000,2.6465,106.13
"DAVIS BOR","AZ10309","24h","PE3",10000,3.9399,157.99
"DAVIS BOR","AZ10309","24h","GNO",10000,4.5354,181.87
"DAVIS BOR","AZ10309","24h","GEV",10000,4.7699,191.28
"DAVIS BOR","AZ10309","24h","GLO",10000,7.1331,286.04
"DAVIS BOR","AZ10309","72h","GPA",10000,2.561,126.34
"DAVIS BOR","AZ10309","72h","PE3",10000,3.915,193.13
"DAVIS BOR","AZ10309","72h","GNO",10000,4.4234,218.21
"DAVIS BOR","AZ10309","72h","GEV",10000,4.5383,223.88
"DAVIS BOR","AZ10309","72h","GLO",10000,6.8396,337.4
"BOYSEN","WY01299","24h","GPA",10000,2.3193,75.18
"BOYSEN","WY01299","24h","PE3",10000,3.5467,114.96
"BOYSEN","WY01299","24h","GNO",10000,3.936,127.58
"BOYSEN","WY01299","24h","GEV",10000,3.9592,128.33
"BOYSEN","WY01299","24h","GLO",10000,5.9389,192.5
"BOYSEN","WY01299","72h","GPA",10000,2.2636,91
"BOYSEN","WY01299","72h","PE3",10000,3.5403,142.32
"BOYSEN","WY01299","72h","GEV",10000,3.785,152.16
"BOYSEN","WY01299","72h","GNO",10000,3.8581,155.1
"BOYSEN","WY01299","72h","GLO",10000,5.7159,229.78
"TIBER","MT00579","24h","GPA",10000,2.6306,101.91
"TIBER","MT00579","24h","PE3",10000,3.8272,148.26
"TIBER","MT00579","24h","GNO",10000,4.4506,172.41
"TIBER","MT00579","24h","GEV",10000,4.7508,184.04
"TIBER","MT00579","24h","GLO",10000,7.047,273
"TIBER","MT00579","72h","GPA",10000,2.4701,122.36
"TIBER","MT00579","72h","PE3",10000,3.7142,183.98
"TIBER","MT00579","72h","GNO",10000,4.2073,208.41
"TIBER","MT00579","72h","GEV",10000,4.3422,215.09
"TIBER","MT00579","72h","GLO",10000,6.4954,321.75
"DRY FALLS DAM & POWERPLANT","WA00261","24h","GPA",10000,2.1296,115.41
"DRY FALLS DAM & POWERPLANT","WA00261","24h","PE3",10000,3.0879,167.34
"DRY FALLS DAM & POWERPLANT","WA00261","24h","GNO",10000,3.4657,187.82
"DRY FALLS DAM & POWERPLANT","WA00261","24h","GEV",10000,3.5673,193.33
"DRY FALLS DAM & POWERPLANT","WA00261","24h","GLO",10000,5.2229,283.05
"DRY FALLS DAM & POWERPLANT","WA00261","72h","GPA",10000,2.0307,172.18
"DRY FALLS DAM & POWERPLANT","WA00261","72h","PE3",10000,3.0126,255.43
"DRY FALLS DAM & POWERPLANT","WA00261","72h","GEV",10000,3.3019,279.97
"DRY FALLS DAM & POWERPLANT","WA00261","72h","GNO",10000,3.3048,280.21
"DRY FALLS DAM & POWERPLANT","WA00261","72h","GLO",10000,4.8572,411.84
"NORTH","WA00266","24h","GPA",10000,2.1577,99.21
"NORTH","WA00266","24h","PE3",10000,3.1043,142.73
"NORTH","WA00266","24h","GNO",10000,3.5073,161.26
"NORTH","WA00266","24h","GEV",10000,3.6414,167.43
"NORTH","WA00266","24h","GLO",10000,5.3214,244.67
"NORTH","WA00266","72h","GPA",10000,2.1005,138.69
"NORTH","WA00266","72h","PE3",10000,3.0613,202.13
"NORTH","WA00266","72h","GNO",10000,3.4169,225.61
"NORTH","WA00266","72h","GEV",10000,3.4924,230.6
"NORTH","WA00266","72h","GLO",10000,5.1176,337.9
"OWYHEE","OR00582","24h","GPA",10000,2.2123,61.46
"OWYHEE","OR00582","24h","PE3",10000,3.2089,89.14
"OWYHEE","OR00582","24h","GNO",10000,3.6285,100.8
"OWYHEE","OR00582","24h","GEV",10000,3.7645,104.57
"OWYHEE","OR00582","24h","GLO",10000,5.5263,153.52
"OWYHEE","OR00582","72h","GPA",10000,1.9301,71.34
"OWYHEE","OR00582","72h","PE3",10000,2.8905,106.84
"OWYHEE","OR00582","72h","GEV",10000,3.0376,112.28
"OWYHEE","OR00582","72h","GNO",10000,3.1121,115.03
"OWYHEE","OR00582","72h","GLO",10000,4.4646,165.02
"GLEN ELDER","KS00021","24h","GPA",10000,2.5055,172.21
"GLEN ELDER","KS00021","24h","PE3",10000,3.5929,246.95
"GLEN ELDER","KS00021","24h","GNO",10000,4.1751,286.96
"GLEN ELDER","KS00021","24h","GEV",10000,4.4659,306.95
"GLEN ELDER","KS00021","24h","GLO",10000,6.5765,452.02
"GLEN ELDER","KS00021","72h","GPA",10000,2.0658,166.03
"GLEN ELDER","KS00021","72h","PE3",10000,3.1132,250.2
"GLEN ELDER","KS00021","72h","GEV",10000,3.3649,270.43
"GLEN ELDER","KS00021","72h","GNO",10000,3.398,273.08
"GLEN ELDER","KS00021","72h","GLO",10000,4.9843,400.57
"PATHFINDER DIKE","WY01295","24h","GPA",10000,2.7568,94.58
"PATHFINDER DIKE","WY01295","24h","PE3",10000,3.9115,134.19
"PATHFINDER DIKE","WY01295","24h","GNO",10000,4.6323,158.92
"PATHFINDER DIKE","WY01295","24h","GEV",10000,5.0598,173.59
"PATHFINDER DIKE","WY01295","24h","GLO",10000,7.4582,255.87
"PATHFINDER DIKE","WY01295","72h","GPA",10000,2.505,107.49
"PATHFINDER DIKE","WY01295","72h","PE3",10000,3.7328,160.18
"PATHFINDER DIKE","WY01295","72h","GNO",10000,4.2578,182.71
"PATHFINDER DIKE","WY01295","72h","GEV",10000,4.4346,190.3
"PATHFINDER DIKE","WY01295","72h","GLO",10000,6.6172,283.95
"BOR SOLDIER CREEK","UT10135","24h","GPA",10000,2.0251,72.13
"BOR SOLDIER CREEK","UT10135","24h","PE3",10000,3.0024,106.94
"BOR SOLDIER CREEK","UT10135","24h","GEV",10000,3.2889,117.15
