"site","site_id","duration","dist","Z","absZ","acceptable"
"CHINA HAT","ID00266","72h","pe3",-3.556,3.556,FALSE
"CHINA HAT","ID00266","72h","glo",3.636,3.636,FALSE
"CHINA HAT","ID00266","72h","gpa",-11.622,11.622,FALSE
"FALL CREEK","OR00007","24h","gno",0.564,0.564,TRUE
"FALL CREEK","OR00007","24h","pe3",-0.847,0.847,TRUE
"FALL CREEK","OR00007","24h","gev",1.062,1.062,TRUE
"FALL CREEK","OR00007","24h","glo",5.537,5.537,FALSE
"FALL CREEK","OR00007","24h","gpa",-8.816,8.816,FALSE
"FALL CREEK","OR00007","72h","glo",0.721,0.721,TRUE
"FALL CREEK","OR00007","72h","gev",-3.101,3.101,FALSE
"FALL CREEK","OR00007","72h","gno",-3.549,3.549,FALSE
"FALL CREEK","OR00007","72h","pe3",-4.785,4.785,FALSE
"FALL CREEK","OR00007","72h","gpa",-11.557,11.557,FALSE
"GRIZZLY VALLEY","CA00039","24h","gev",-0.344,0.344,TRUE
"GRIZZLY VALLEY","CA00039","24h","gno",-1.296,1.296,TRUE
"GRIZZLY VALLEY","CA00039","24h","pe3",-3.263,3.263,FALSE
"GRIZZLY VALLEY","CA00039","24h","glo",3.609,3.609,FALSE
"GRIZZLY VALLEY","CA00039","24h","gpa",-9.521,9.521,FALSE
"GRIZZLY VALLEY","CA00039","72h","gev",-1.601,1.601,TRUE
"GRIZZLY VALLEY","CA00039","72h","glo",1.808,1.808,FALSE
"GRIZZLY VALLEY","CA00039","72h","gno",-2.767,2.767,FALSE
"GRIZZLY VALLEY","CA00039","72h","pe3",-4.983,4.983,FALSE
"GRIZZLY VALLEY","CA00039","72h","gpa",-9.805,9.805,FALSE
"BIG SAGE","CA00233","24h","glo",1.036,1.036,TRUE
"BIG SAGE","CA00233","24h","gev",-2.409,2.409,FALSE
"BIG SAGE","CA00233","24h","gno",-3.386,3.386,FALSE
"BIG SAGE","CA00233","24h","pe3",-5.32,5.32,FALSE
"BIG SAGE","CA00233","24h","gpa",-10.531,10.531,FALSE
"BIG SAGE","CA00233","72h","glo",-0.432,0.432,TRUE
"BIG SAGE","CA00233","72h","gev",-3.238,3.238,FALSE
"BIG SAGE","CA00233","72h","gno",-4.171,4.171,FALSE
"BIG SAGE","CA00233","72h","pe3",-5.954,5.954,FALSE
"BIG SAGE","CA00233","72h","gpa",-9.968,9.968,FALSE
"GERBER RESERVOR","OR00584","24h","glo",1.299,1.299,TRUE
"GERBER RESERVOR","OR00584","24h","gev",-1.775,1.775,FALSE
"GERBER RESERVOR","OR00584","24h","gno",-2.993,2.993,FALSE
"GERBER RESERVOR","OR00584","24h","pe3",-5.255,5.255,FALSE
"GERBER RESERVOR","OR00584","24h","gpa",-9.306,9.306,FALSE
"GERBER RESERVOR","OR00584","72h","glo",0.319,0.319,TRUE
"GERBER RESERVOR","OR00584","72h","gev",-2.727,2.727,FALSE
"GERBER RESERVOR","OR00584","72h","gno",-3.775,3.775,FALSE
"GERBER RESERVOR","OR00584","72h","pe3",-5.765,5.765,FALSE
"GERBER RESERVOR","OR00584","72h","gpa",-10.061,10.061,FALSE
"SALT CREEK SITE 18 - BRANCHED OAK","NE01063","24h","glo",0.658,0.658,TRUE
"SALT CREEK SITE 18 - BRANCHED OAK","NE01063","24h","gev",-0.779,0.779,TRUE
"SALT CREEK SITE 18 - BRANCHED OAK","NE01063","24h","gno",-1.3,1.3,TRUE
"SALT CREEK SITE 18 - BRANCHED OAK","NE01063","24h","pe3",-2.281,2.281,FALSE
"SALT CREEK SITE 18 - BRANCHED OAK","NE01063","24h","gpa",-4.26,4.26,FALSE
"SALT CREEK SITE 18 - BRANCHED OAK","NE01063","72h","glo",-0.543,0.543,TRUE
"SALT CREEK SITE 18 - BRANCHED OAK","NE01063","72h","gev",-2.066,2.066,FALSE
"SALT CREEK SITE 18 - BRANCHED OAK","NE01063","72h","gno",-2.313,2.313,FALSE
"SALT CREEK SITE 18 - BRANCHED OAK","NE01063","72h","pe3",-2.898,2.898,FALSE
"SALT CREEK SITE 18 - BRANCHED OAK","NE01063","72h","gpa",-5.498,5.498,FALSE
"MAMMOTH POOL","CA00443","24h","gev",-1.043,1.043,TRUE
"MAMMOTH POOL","CA00443","24h","gno",-1.782,1.782,FALSE
"MAMMOTH POOL","CA00443","24h","glo",2.718,2.718,FALSE
"MAMMOTH POOL","CA00443","24h","pe3",-3.41,3.41,FALSE
"MAMMOTH POOL","CA00443","24h","gpa",-9.631,9.631,FALSE
"MAMMOTH POOL","CA00443","72h","gev",-0.951,0.951,TRUE
"MAMMOTH POOL","CA00443","72h","gno",-2.104,2.104,FALSE
"MAMMOTH POOL","CA00443","72h","glo",2.414,2.414,FALSE
"MAMMOTH POOL","CA00443","72h","pe3",-4.295,4.295,FALSE
"MAMMOTH POOL","CA00443","72h","gpa",-9.05,9.05,FALSE
"CAVE BUTTES","AZ10007","24h","glo",1.905,1.905,FALSE
"CAVE BUTTES","AZ10007","24h","gev",-2.359,2.359,FALSE
"CAVE BUTTES","AZ10007","24h","gno",-3.235,3.235,FALSE
"CAVE BUTTES","AZ10007","24h","pe3",-5.136,5.136,FALSE
"CAVE BUTTES","AZ10007","24h","gpa",-12.129,12.129,FALSE
"CAVE BUTTES","AZ10007","72h","gev",-0.621,0.621,TRUE
"CAVE BUTTES","AZ10007","72h","gno",-1.8,1.8,FALSE
"CAVE BUTTES","AZ10007","72h","glo",3.989,3.989,FALSE
"CAVE BUTTES","AZ10007","72h","pe3",-4.195,4.195,FALSE
"CAVE BUTTES","AZ10007","72h","gpa",-11.382,11.382,FALSE
"GIBSON","MT00571","24h","gev",-0.112,0.112,TRUE
"GIBSON","MT00571","24h","gno",-1.24,1.24,TRUE
"GIBSON","MT00571","24h","pe3",-3.515,3.515,FALSE
"GIBSON","MT00571","24h","glo",4.175,4.175,FALSE
"GIBSON","MT00571","24h","gpa",-10.147,10.147,FALSE
"GIBSON","MT00571","72h","gev",-1.476,1.476,TRUE
"GIBSON","MT00571","72h","glo",1.815,1.815,FALSE
"GIBSON","MT00571","72h","gno",-2.539,2.539,FALSE
"GIBSON","MT00571","72h","pe3",-4.584,4.584,FALSE
"GIBSON","MT00571","72h","gpa",-9.345,9.345,FALSE
"MORROW POINT","CO01689","24h","glo",1.073,1.073,TRUE
"MORROW POINT","CO01689","24h","gev",-2.673,2.673,FALSE
"MORROW POINT","CO01689","24h","gno",-3.414,3.414,FALSE
"MORROW POINT","CO01689","24h","pe3",-5.043,5.043,FALSE
"MORROW POINT","CO01689","24h","gpa",-11.231,11.231,FALSE
"MORROW POINT","CO01689","72h","gev",-2.086,2.086,FALSE
"MORROW POINT","CO01689","72h","glo",2.132,2.132,FALSE
"MORROW POINT","CO01689","72h","gno",-2.599,2.599,FALSE
"MORROW POINT","CO01689","72h","pe3",-3.987,3.987,FALSE
"MORROW POINT","CO01689","72h","gpa",-11.435,11.435,FALSE
"FERN RIDGE","OR00016","24h","gev",0.205,0.205,TRUE
"FERN RIDGE","OR00016","24h","gno",-0.562,0.562,TRUE
"FERN RIDGE","OR00016","24h","pe3",-2.287,2.287,FALSE
"FERN RIDGE","OR00016","24h","glo",4.339,4.339,FALSE
"FERN RIDGE","OR00016","24h","gpa",-9.196,9.196,FALSE
"FERN RIDGE","OR00016","72h","glo",1.086,1.086,TRUE
"FERN RIDGE","OR00016","72h","gev",-3.228,3.228,FALSE
"FERN RIDGE","OR00016","72h","gno",-3.461,3.461,FALSE
"FERN RIDGE","OR00016","72h","pe3",-4.505,4.505,FALSE
"FERN RIDGE","OR00016","72h","gpa",-12.52,12.52,FALSE
"CRESCENT LAKE DAM","OR00381","24h","gev",0.355,0.355,TRUE
"CRESCENT LAKE DAM","OR00381","24h","gno",-0.522,0.522,TRUE
"CRESCENT LAKE DAM","OR00381","24h","pe3",-2.335,2.335,FALSE
"CRESCENT LAKE DAM","OR00381","24h","glo",4.004,4.004,FALSE
"CRESCENT LAKE DAM","OR00381","24h","gpa",-8.118,8.118,FALSE
"CRESCENT LAKE DAM","OR00381","72h","glo",0.2,0.2,TRUE
"CRESCENT LAKE DAM","OR00381","72h","gev",-3.482,3.482,FALSE
"CRESCENT LAKE DAM","OR00381","72h","gno",-4.186,4.186,FALSE
"CRESCENT LAKE DAM","OR00381","72h","pe3",-5.753,5.753,FALSE
"CRESCENT LAKE DAM","OR00381","72h","gpa",-11.873,11.873,FALSE
"RUEDI","CO01664","24h","glo",1.233,1.233,TRUE
"RUEDI","CO01664","24h","gev",-2.632,2.632,FALSE
"RUEDI","CO01664","24h","gno",-3.434,3.434,FALSE
"RUEDI","CO01664","24h","pe3",-5.168,5.168,FALSE
"RUEDI","CO01664","24h","gpa",-11.495,11.495,FALSE
"RUEDI","CO01664","72h","glo",1.085,1.085,TRUE
"RUEDI","CO01664","72h","gev",-2.618,2.618,FALSE
"RUEDI","CO01664","72h","gno",-3.447,3.447,FALSE
"RUEDI","CO01664","72h","pe3",-5.197,5.197,FALSE
"RUEDI","CO01664","72h","gpa",-11.163,11.163,FALSE
"GRAYSON DAM","KY03030","24h","gev",-0.363,0.363,TRUE
"GRAYSON DAM","KY03030","24h","glo",0.671,0.671,TRUE
"GRAYSON DAM","KY03030","24h","gno",-0.913,0.913,TRUE
"GRAYSON DAM","KY03030","24h","pe3",-1.9,1.9,FALSE
"GRAYSON DAM","KY03030","24h","gpa",-3.006,3.006,FALSE
"GRAYSON DAM","KY03030","72h","gev",0.047,0.047,TRUE
"GRAYSON DAM","KY03030","72h","gno",-0.44,0.44,TRUE
"GRAYSON DAM","KY03030","72h","pe3",-1.381,1.381,TRUE
"GRAYSON DAM","KY03030","72h","glo",1.582,1.582,TRUE
"GRAYSON DAM","KY03030","72h","gpa",-3.617,3.617,FALSE
"TAYLOR PARK","CO00151","24h","glo",1.39,1.39,TRUE
"TAYLOR PARK","CO00151","24h","gev",-2.649,2.649,FALSE
"TAYLOR PARK","CO00151","24h","gno",-3.215,3.215,FALSE
"TAYLOR PARK","CO00151","24h","pe3",-4.645,4.645,FALSE
"TAYLOR PARK","CO00151","24h","gpa",-11.672,11.672,FALSE
"TAYLOR PARK","CO00151","72h","glo",1.972,1.972,FALSE
"TAYLOR PARK","CO00151","72h","gev",-2.328,2.328,FALSE
"TAYLOR PARK","CO00151","72h","gno",-2.876,2.876,FALSE
"TAYLOR PARK","CO00151","72h","pe3",-4.324,4.324,FALSE
"TAYLOR PARK","CO00151","72h","gpa",-11.884,11.884,FALSE
"WARNER DAM","NY00750","24h","glo",-1.108,1.108,TRUE
"WARNER DAM","NY00750","24h","gev",-2.771,2.771,FALSE
"WARNER DAM","NY00750","24h","gno",-3.042,3.042,FALSE
"WARNER DAM","NY00750","24h","pe3",-3.684,3.684,FALSE
"WARNER DAM","NY00750","24h","gpa",-6.519,6.519,FALSE
"WARNER DAM","NY00750","72h","glo",-0.778,0.778,TRUE
"WARNER DAM","NY00750","72h","gev",-2.194,2.194,FALSE
"WARNER DAM","NY00750","72h","gno",-2.599,2.599,FALSE
"WARNER DAM","NY00750","72h","pe3",-3.399,3.399,FALSE
"WARNER DAM","NY00750","72h","gpa",-5.535,5.535,FALSE
"ALVIN R BUSH DAM","PA00002","24h","glo",0.193,0.193,TRUE
"ALVIN R BUSH DAM","PA00002","24h","gev",-1.746,1.746,FALSE
"ALVIN R BUSH DAM","PA00002","24h","gno",-2.272,2.272,FALSE
"ALVIN R BUSH DAM","PA00002","24h","pe3",-3.324,3.324,FALSE
"ALVIN R BUSH DAM","PA00002","24h","gpa",-6.299,6.299,FALSE
"ALVIN R BUSH DAM","PA00002","72h","glo",0.546,0.546,TRUE
"ALVIN R BUSH DAM","PA00002","72h","gev",-1.556,1.556,TRUE
"ALVIN R BUSH DAM","PA00002","72h","gno",-2.061,2.061,FALSE
"ALVIN R BUSH DAM","PA00002","72h","pe3",-3.105,3.105,FALSE
"ALVIN R BUSH DAM","PA00002","72h","gpa",-6.435,6.435,FALSE
"GALESVILLE RES.","OR00748","24h","gev",-0.908,0.908,TRUE
"GALESVILLE RES.","OR00748","24h","gno",-1.94,1.94,FALSE
"GALESVILLE RES.","OR00748","24h","glo",3.096,3.096,FALSE
"GALESVILLE RES.","OR00748","24h","pe3",-4.032,4.032,FALSE
"GALESVILLE RES.","OR00748","24h","gpa",-10.263,10.263,FALSE
"GALESVILLE RES.","OR00748","72h","glo",1.646,1.646,FALSE
"GALESVILLE RES.","OR00748","72h","gev",-2.528,2.528,FALSE
"GALESVILLE RES.","OR00748","72h","gno",-2.996,2.996,FALSE
"GALESVILLE RES.","OR00748","72h","pe3",-4.317,4.317,FALSE
"GALESVILLE RES.","OR00748","72h","gpa",-11.744,11.744,FALSE
"GALESVILLE","OR83046","24h","gev",-0.908,0.908,TRUE
"GALESVILLE","OR83046","24h","gno",-1.94,1.94,FALSE
"GALESVILLE","OR83046","24h","glo",3.096,3.096,FALSE
"GALESVILLE","OR83046","24h","pe3",-4.032,4.032,FALSE
"GALESVILLE","OR83046","24h","gpa",-10.263,10.263,FALSE
"GALESVILLE","OR83046","72h","glo",1.646,1.646,FALSE
"GALESVILLE","OR83046","72h","gev",-2.528,2.528,FALSE
"GALESVILLE","OR83046","72h","gno",-2.996,2.996,FALSE
"GALESVILLE","OR83046","72h","pe3",-4.317,4.317,FALSE
"GALESVILLE","OR83046","72h","gpa",-11.744,11.744,FALSE
"CARTER LAKE DAM NO. 1","CO01650","24h","glo",0.407,0.407,TRUE
"CARTER LAKE DAM NO. 1","CO01650","24h","gev",-1.142,1.142,TRUE
"CARTER LAKE DAM NO. 1","CO01650","24h","gno",-1.866,1.866,FALSE
"CARTER LAKE DAM NO. 1","CO01650","24h","pe3",-3.18,3.18,FALSE
"CARTER LAKE DAM NO. 1","CO01650","24h","gpa",-5.025,5.025,FALSE
"CARTER LAKE DAM NO. 1","CO01650","72h","gno",0.131,0.131,TRUE
"CARTER LAKE DAM NO. 1","CO01650","72h","gev",0.801,0.801,TRUE
"CARTER LAKE DAM NO. 1","CO01650","72h","pe3",-1.151,1.151,TRUE
"CARTER LAKE DAM NO. 1","CO01650","72h","glo",2.817,2.817,FALSE
"CARTER LAKE DAM NO. 1","CO01650","72h","gpa",-4.034,4.034,FALSE
"TRUSCOTT BRINE LAKE","TX05996","24h","gev",-1.352,1.352,TRUE
"TRUSCOTT BRINE LAKE","TX05996","24h","glo",1.661,1.661,FALSE
"TRUSCOTT BRINE LAKE","TX05996","24h","gno",-2.555,2.555,FALSE
"TRUSCOTT BRINE LAKE","TX05996","24h","pe3",-4.785,4.785,FALSE
"TRUSCOTT BRINE LAKE","TX05996","24h","gpa",-8.742,8.742,FALSE
"TRUSCOTT BRINE LAKE","TX05996","72h","gev",-0.865,0.865,TRUE
"TRUSCOTT BRINE LAKE","TX05996","72h","gno",-1.87,1.87,FALSE
"TRUSCOTT BRINE LAKE","TX05996","72h","glo",2.95,2.95,FALSE
"TRUSCOTT BRINE LAKE","TX05996","72h","pe3",-3.896,3.896,FALSE
"TRUSCOTT BRINE LAKE","TX05996","72h","gpa",-9.796,9.796,FALSE
"HARRIMAN","VT00025","24h","pe3",0.439,0.439,TRUE
"HARRIMAN","VT00025","24h","gno",1.131,1.131,TRUE
"HARRIMAN","VT00025","24h","gpa",-1.46,1.46,TRUE
"HARRIMAN","VT00025","24h","gev",1.479,1.479,TRUE
"HARRIMAN","VT00025","24h","glo",2.728,2.728,FALSE
"HARRIMAN","VT00025","72h","gev",0.126,0.126,TRUE
