"site","site_id","duration","dist","T","growth_factor","depth_mm"
"DWORSHAK DAM AND RESERVOIR","ID00287","24h","PE3",10000,2.828,129.89
"DWORSHAK DAM AND RESERVOIR","ID00287","24h","GNO",10000,3.101,142.42
"DWORSHAK DAM AND RESERVOIR","ID00287","24h","GEV",10000,3.1088,142.78
"DWORSHAK DAM AND RESERVOIR","ID00287","24h","GLO",10000,4.526,207.87
"DWORSHAK DAM AND RESERVOIR","ID00287","72h","GPA",10000,1.8602,128.75
"DWORSHAK DAM AND RESERVOIR","ID00287","72h","PE3",10000,2.7306,188.99
"DWORSHAK DAM AND RESERVOIR","ID00287","72h","GEV",10000,2.895,200.37
"DWORSHAK DAM AND RESERVOIR","ID00287","72h","GNO",10000,2.9461,203.91
"DWORSHAK DAM AND RESERVOIR","ID00287","72h","GLO",10000,4.2098,291.37
"OROVILLE","CA00035","24h","GPA",10000,2.2322,235.75
"OROVILLE","CA00035","24h","PE3",10000,3.2797,346.39
"OROVILLE","CA00035","24h","GNO",10000,3.6908,389.81
"OROVILLE","CA00035","24h","GEV",10000,3.7997,401.31
"OROVILLE","CA00035","24h","GLO",10000,5.6066,592.15
"OROVILLE","CA00035","72h","GPA",10000,2.621,462.67
"OROVILLE","CA00035","72h","PE3",10000,3.8049,671.66
"OROVILLE","CA00035","72h","GNO",10000,4.4268,781.43
"OROVILLE","CA00035","72h","GEV",10000,4.7297,834.9
"OROVILLE","CA00035","72h","GLO",10000,7.0093,1237.31
"TABLE ROCK DAM","MO30202","24h","GPA",10000,2.4718,253.96
"TABLE ROCK DAM","MO30202","24h","PE3",10000,3.4074,350.09
"TABLE ROCK DAM","MO30202","24h","GNO",10000,4.022,413.23
"TABLE ROCK DAM","MO30202","24h","GEV",10000,4.404,452.49
"TABLE ROCK DAM","MO30202","24h","GLO",10000,6.3945,657
"TABLE ROCK DAM","MO30202","72h","GPA",10000,2.4859,333.27
"TABLE ROCK DAM","MO30202","72h","PE3",10000,3.3802,453.17
"TABLE ROCK DAM","MO30202","72h","GNO",10000,4.0171,538.56
"TABLE ROCK DAM","MO30202","72h","GEV",10000,4.4399,595.25
"TABLE ROCK DAM","MO30202","72h","GLO",10000,6.4191,860.59
"HARTWELL DAM","GA01702","24h","GPA",10000,2.2863,230.05
"HARTWELL DAM","GA01702","24h","PE3",10000,3.2631,328.35
"HARTWELL DAM","GA01702","24h","GNO",10000,3.7419,376.53
"HARTWELL DAM","GA01702","24h","GEV",10000,3.9524,397.71
"HARTWELL DAM","GA01702","24h","GLO",10000,5.7812,581.74
"HARTWELL DAM","GA01702","72h","GPA",10000,2.3042,302.68
"HARTWELL DAM","GA01702","72h","PE3",10000,3.2516,427.13
"HARTWELL DAM","GA01702","72h","GNO",10000,3.754,493.11
"HARTWELL DAM","GA01702","72h","GEV",10000,4.0017,525.66
"HARTWELL DAM","GA01702","72h","GLO",10000,5.8331,766.23
"THEODORE ROOSEVELT","AZ10317","24h","GPA",10000,2.2039,121.26
"THEODORE ROOSEVELT","AZ10317","24h","PE3",10000,3.3079,182
"THEODORE ROOSEVELT","AZ10317","24h","GNO",10000,3.6712,201.99
"THEODORE ROOSEVELT","AZ10317","24h","GEV",10000,3.707,203.96
"THEODORE ROOSEVELT","AZ10317","24h","GLO",10000,5.5071,303
