"site","site_id","duration","T","F","growth_factor"
"ROCK ISLAND","WA00084","24h",10000,0.9999,3.84729753175787
"ROCK ISLAND","WA00084","72h",2,0.5,0.94235934049968
"ROCK ISLAND","WA00084","72h",5,0.8,1.24102243097519
"ROCK ISLAND","WA00084","72h",10,0.9,1.44083525652729
"ROCK ISLAND","WA00084","72h",25,0.96,1.69568445938076
"ROCK ISLAND","WA00084","72h",50,0.98,1.88648194176035
"ROCK ISLAND","WA00084","72h",100,0.99,2.07734554224195
"ROCK ISLAND","WA00084","72h",200,0.995,2.26898550526614
"ROCK ISLAND","WA00084","72h",500,0.998,2.52408648946014
"ROCK ISLAND","WA00084","72h",1000,0.999,2.71861270173527
"ROCK ISLAND","WA00084","72h",2000,0.9995,2.91456727696008
"ROCK ISLAND","WA00084","72h",5000,0.9998,3.17587250952691
"ROCK ISLAND","WA00084","72h",10000,0.9999,3.37529258819376
"DORENA","OR00008","24h",2,0.5,0.939219480069914
"DORENA","OR00008","24h",5,0.8,1.23701739004949
"DORENA","OR00008","24h",10,0.9,1.43641379718911
"DORENA","OR00008","24h",25,0.96,1.69050588811415
"DORENA","OR00008","24h",50,0.98,1.8812808795102
"DORENA","OR00008","24h",100,0.99,2.0733271392274
"DORENA","OR00008","24h",200,0.995,2.26798527548991
"DORENA","OR00008","24h",500,0.998,2.53083891395876
"DORENA","OR00008","24h",1000,0.999,2.73469060494823
"DORENA","OR00008","24h",2000,0.9995,2.94340274065843
"DORENA","OR00008","24h",5000,0.9998,3.22742709899863
"DORENA","OR00008","24h",10000,0.9999,3.44884908611234
"DORENA","OR00008","72h",2,0.5,0.955969466418998
"DORENA","OR00008","72h",5,0.8,1.19954925073504
"DORENA","OR00008","72h",10,0.9,1.37026784535404
"DORENA","OR00008","72h",25,0.96,1.60991850702476
"DORENA","OR00008","72h",50,0.98,1.81052861470303
"DORENA","OR00008","72h",100,0.99,2.03284431283614
"DORENA","OR00008","72h",200,0.995,2.28074401278031
"DORENA","OR00008","72h",500,0.998,2.65416669868228
"DORENA","OR00008","72h",1000,0.999,2.97636888254502
"DORENA","OR00008","72h",2000,0.9995,3.33761296411947
"DORENA","OR00008","72h",5000,0.9998,3.88338884244627
"DORENA","OR00008","72h",10000,0.9999,4.35494328790292
"MILLERS CREEK DAM","TX01029","24h",2,0.5,0.91900471796548
"MILLERS CREEK DAM","TX01029","24h",5,0.8,1.26921048082031
"MILLERS CREEK DAM","TX01029","24h",10,0.9,1.51681626806608
"MILLERS CREEK DAM","TX01029","24h",25,0.96,1.8488189703929
"MILLERS CREEK DAM","TX01029","24h",50,0.98,2.10972710709952
"MILLERS CREEK DAM","TX01029","24h",100,0.99,2.38170703628936
"MILLERS CREEK DAM","TX01029","24h",200,0.995,2.66621867795839
"MILLERS CREEK DAM","TX01029","24h",500,0.998,3.06337521073698
"MILLERS CREEK DAM","TX01029","24h",1000,0.999,3.38089850916253
"MILLERS CREEK DAM","TX01029","24h",2000,0.9995,3.7140687234936
"MILLERS CREEK DAM","TX01029","24h",5000,0.9998,4.1799210927592
"MILLERS CREEK DAM","TX01029","24h",10000,0.9999,4.55265086640558
"MILLERS CREEK DAM","TX01029","72h",2,0.5,0.923096865990615
"MILLERS CREEK DAM","TX01029","72h",5,0.8,1.27730466596984
"MILLERS CREEK DAM","TX01029","72h",10,0.9,1.52272428679293
"MILLERS CREEK DAM","TX01029","72h",25,0.96,1.845813410699
"MILLERS CREEK DAM","TX01029","72h",50,0.98,2.09524694933005
"MILLERS CREEK DAM","TX01029","72h",100,0.99,2.35136636253608
"MILLERS CREEK DAM","TX01029","72h",200,0.995,2.61529114463817
"MILLERS CREEK DAM","TX01029","72h",500,0.998,2.97734369697306
"MILLERS CREEK DAM","TX01029","72h",1000,0.999,3.26182772512141
"MILLERS CREEK DAM","TX01029","72h",2000,0.9995,3.5559004652673
"MILLERS CREEK DAM","TX01029","72h",5000,0.9998,3.9599955782248
"MILLERS CREEK DAM","TX01029","72h",10000,0.9999,4.27776355457104
"LAKE HATTIE","WY00015","24h",2,0.5,0.919556043584928
"LAKE HATTIE","WY00015","24h",5,0.8,1.25882733959525
"LAKE HATTIE","WY00015","24h",10,0.9,1.50068725562709
"LAKE HATTIE","WY00015","24h",25,0.96,1.82742200154403
"LAKE HATTIE","WY00015","24h",50,0.98,2.08605543478022
"LAKE HATTIE","WY00015","24h",100,0.99,2.35733022995798
"LAKE HATTIE","WY00015","24h",200,0.995,2.64284822490294
"LAKE HATTIE","WY00015","24h",500,0.998,3.04425412803419
"LAKE HATTIE","WY00015","24h",1000,0.999,3.36744969247976
"LAKE HATTIE","WY00015","24h",2000,0.9995,3.70864563552831
"LAKE HATTIE","WY00015","24h",5000,0.9998,4.18911721645013
"LAKE HATTIE","WY00015","24h",10000,0.9999,4.57626593871552
"LAKE HATTIE","WY00015","72h",2,0.5,0.921198603002524
"LAKE HATTIE","WY00015","72h",5,0.8,1.26896722711471
"LAKE HATTIE","WY00015","72h",10,0.9,1.51321678224822
"LAKE HATTIE","WY00015","72h",25,0.96,1.83874472913608
"LAKE HATTIE","WY00015","72h",50,0.98,2.09307211235594
"LAKE HATTIE","WY00015","72h",100,0.99,2.35687531258032
"LAKE HATTIE","WY00015","72h",200,0.995,2.63147044135283
"LAKE HATTIE","WY00015","72h",500,0.998,3.01258815334193
"LAKE HATTIE","WY00015","72h",1000,0.999,3.31555355461429
"LAKE HATTIE","WY00015","72h",2000,0.9995,3.63188594971961
"LAKE HATTIE","WY00015","72h",5000,0.9998,4.07166649999097
"LAKE HATTIE","WY00015","72h",10000,0.9999,4.42153477502843
"HANNIBAL LOCKS AND DAM","WV10301","24h",2,0.5,0.939113532677532
"HANNIBAL LOCKS AND DAM","WV10301","24h",5,0.8,1.19210074137364
"HANNIBAL LOCKS AND DAM","WV10301","24h",10,0.9,1.38091963705448
"HANNIBAL LOCKS AND DAM","WV10301","24h",25,0.96,1.66027710010649
"HANNIBAL LOCKS AND DAM","WV10301","24h",50,0.98,1.90586650447062
"HANNIBAL LOCKS AND DAM","WV10301","24h",100,0.99,2.18950642175786
"HANNIBAL LOCKS AND DAM","WV10301","24h",200,0.995,2.51897913059209
"HANNIBAL LOCKS AND DAM","WV10301","24h",500,0.998,3.03942550782574
"HANNIBAL LOCKS AND DAM","WV10301","24h",1000,0.999,3.50995621876729
"HANNIBAL LOCKS AND DAM","WV10301","24h",2000,0.9995,4.05928931822024
"HANNIBAL LOCKS AND DAM","WV10301","24h",5000,0.9998,4.92943099728358
"HANNIBAL LOCKS AND DAM","WV10301","24h",10000,0.9999,5.71710673679385
"HANNIBAL LOCKS AND DAM","WV10301","72h",2,0.5,0.943756824436743
"HANNIBAL LOCKS AND DAM","WV10301","72h",5,0.8,1.20818002081705
"HANNIBAL LOCKS AND DAM","WV10301","72h",10,0.9,1.39023004904208
"HANNIBAL LOCKS AND DAM","WV10301","72h",25,0.96,1.62851927747643
"HANNIBAL LOCKS AND DAM","WV10301","72h",50,0.98,1.81146183935484
"HANNIBAL LOCKS AND DAM","WV10301","72h",100,0.99,1.99841944156278
"HANNIBAL LOCKS AND DAM","WV10301","72h",200,0.995,2.19016833176705
"HANNIBAL LOCKS AND DAM","WV10301","72h",500,0.998,2.45177556278271
"HANNIBAL LOCKS AND DAM","WV10301","72h",1000,0.999,2.65621860815734
"HANNIBAL LOCKS AND DAM","WV10301","72h",2000,0.9995,2.86656316332166
"HANNIBAL LOCKS AND DAM","WV10301","72h",5000,0.9998,3.15403205803259
"HANNIBAL LOCKS AND DAM","WV10301","72h",10000,0.9999,3.37886313612626
"ELEVEN MILE CANYON","CO00359","24h",2,0.5,0.926420300172056
"ELEVEN MILE CANYON","CO00359","24h",5,0.8,1.26526710288311
"ELEVEN MILE CANYON","CO00359","24h",10,0.9,1.50005515798945
"ELEVEN MILE CANYON","CO00359","24h",25,0.96,1.80916190444313
"ELEVEN MILE CANYON","CO00359","24h",50,0.98,2.04781101265986
"ELEVEN MILE CANYON","CO00359","24h",100,0.99,2.29286595778914
"ELEVEN MILE CANYON","CO00359","24h",200,0.995,2.54539833161574
"ELEVEN MILE CANYON","CO00359","24h",500,0.998,2.891837478537
"ELEVEN MILE CANYON","CO00359","24h",1000,0.999,3.16406473364788
"ELEVEN MILE CANYON","CO00359","24h",2000,0.9995,3.44547784175015
"ELEVEN MILE CANYON","CO00359","24h",5000,0.9998,3.83219333249208
"ELEVEN MILE CANYON","CO00359","24h",10000,0.9999,4.13630735594977
"ELEVEN MILE CANYON","CO00359","72h",2,0.5,0.920285659150685
"ELEVEN MILE CANYON","CO00359","72h",5,0.8,1.26640289503949
"ELEVEN MILE CANYON","CO00359","72h",10,0.9,1.51078177429219
"ELEVEN MILE CANYON","CO00359","72h",25,0.96,1.83804901329024
"ELEVEN MILE CANYON","CO00359","72h",50,0.98,2.09492544381483
"ELEVEN MILE CANYON","CO00359","72h",100,0.99,2.36242762439898
"ELEVEN MILE CANYON","CO00359","72h",200,0.995,2.64196945075166
"ELEVEN MILE CANYON","CO00359","72h",500,0.998,3.03172609126767
"ELEVEN MILE CANYON","CO00359","72h",1000,0.999,3.34296633536883
"ELEVEN MILE CANYON","CO00359","72h",2000,0.9995,3.66921201303093
"ELEVEN MILE CANYON","CO00359","72h",5000,0.9998,4.12484285369253
"ELEVEN MILE CANYON","CO00359","72h",10000,0.9999,4.48896558759312
"TONGUE RIVER DAM","MT00002","24h",2,0.5,0.920186140513936
"TONGUE RIVER DAM","MT00002","24h",5,0.8,1.29411059254144
"TONGUE RIVER DAM","MT00002","24h",10,0.9,1.5476058925343
"TONGUE RIVER DAM","MT00002","24h",25,0.96,1.87357795862572
"TONGUE RIVER DAM","MT00002","24h",50,0.98,2.12018817762837
"TONGUE RIVER DAM","MT00002","24h",100,0.99,2.36986511324105
"TONGUE RIVER DAM","MT00002","24h",200,0.995,2.62425396785105
"TONGUE RIVER DAM","MT00002","24h",500,0.998,2.9696623613066
"TONGUE RIVER DAM","MT00002","24h",1000,0.999,3.23890450739689
"TONGUE RIVER DAM","MT00002","24h",2000,0.9995,3.51569888762449
"TONGUE RIVER DAM","MT00002","24h",5000,0.9998,3.89406812760576
"TONGUE RIVER DAM","MT00002","24h",10000,0.9999,4.19029480422207
"TONGUE RIVER DAM","MT00002","72h",2,0.5,0.914827491606436
"TONGUE RIVER DAM","MT00002","72h",5,0.8,1.29802161868866
"TONGUE RIVER DAM","MT00002","72h",10,0.9,1.56087419054938
"TONGUE RIVER DAM","MT00002","72h",25,0.96,1.90179849289907
"TONGUE RIVER DAM","MT00002","72h",50,0.98,2.16158595994792
"TONGUE RIVER DAM","MT00002","72h",100,0.99,2.42603440479542
"TONGUE RIVER DAM","MT00002","72h",200,0.995,2.69680281663828
"TONGUE RIVER DAM","MT00002","72h",500,0.998,3.06637894141737
"TONGUE RIVER DAM","MT00002","72h",1000,0.999,3.35585325268265
"TONGUE RIVER DAM","MT00002","72h",2000,0.9995,3.6546072772371
"TONGUE RIVER DAM","MT00002","72h",5000,0.9998,4.06473895192794
"TONGUE RIVER DAM","MT00002","72h",10000,0.9999,4.38712777717953
"OXFORD","NC00329","24h",2,0.5,0.918568535952128
"OXFORD","NC00329","24h",5,0.8,1.23561856746142
"OXFORD","NC00329","24h",10,0.9,1.46794022614674
"OXFORD","NC00329","24h",25,0.96,1.7897427379029
"OXFORD","NC00329","24h",50,0.98,2.05070258333414
"OXFORD","NC00329","24h",100,0.99,2.33011027106883
"OXFORD","NC00329","24h",200,0.995,2.63027058187924
"OXFORD","NC00329","24h",500,0.998,3.06241709405916
"OXFORD","NC00329","24h",1000,0.999,3.4186679055392
"OXFORD","NC00329","24h",2000,0.9995,3.80250059990957
"OXFORD","NC00329","24h",5000,0.9998,4.3559912156882
"OXFORD","NC00329","24h",10000,0.9999,4.81260842079499
"OXFORD","NC00329","72h",2,0.5,0.91804107167422
"OXFORD","NC00329","72h",5,0.8,1.21821292902156
"OXFORD","NC00329","72h",10,0.9,1.44991171006926
"OXFORD","NC00329","72h",25,0.96,1.80253611418433
"OXFORD","NC00329","72h",50,0.98,2.12078640285824
"OXFORD","NC00329","72h",100,0.99,2.49659283310826
"OXFORD","NC00329","72h",200,0.995,2.94281387504122
"OXFORD","NC00329","72h",500,0.998,3.66593177320454
"OXFORD","NC00329","72h",1000,0.999,4.33627976552515
"OXFORD","NC00329","72h",2000,0.9995,5.13609647439546
"OXFORD","NC00329","72h",5000,0.9998,6.43566219992247
"OXFORD","NC00329","72h",10000,0.9999,7.64184019142543
"GEORGE B STEVENSON","PA00914","24h",2,0.5,0.940981917430987
"GEORGE B STEVENSON","PA00914","24h",5,0.8,1.20431925837941
"GEORGE B STEVENSON","PA00914","24h",10,0.9,1.39748428063356
"GEORGE B STEVENSON","PA00914","24h",25,0.96,1.67915008983891
"GEORGE B STEVENSON","PA00914","24h",50,0.98,1.92344233225377
"GEORGE B STEVENSON","PA00914","24h",100,0.99,2.20238167986195
"GEORGE B STEVENSON","PA00914","24h",200,0.995,2.52275609396032
"GEORGE B STEVENSON","PA00914","24h",500,0.998,3.02222493525636
"GEORGE B STEVENSON","PA00914","24h",1000,0.999,3.46800366110792
"GEORGE B STEVENSON","PA00914","24h",2000,0.9995,3.98265152041404
"GEORGE B STEVENSON","PA00914","24h",5000,0.9998,4.7872581449539
"GEORGE B STEVENSON","PA00914","24h",10000,0.9999,5.50629678151978
"GEORGE B STEVENSON","PA00914","72h",2,0.5,0.941972843757177
"GEORGE B STEVENSON","PA00914","72h",5,0.8,1.20995387244909
"GEORGE B STEVENSON","PA00914","72h",10,0.9,1.40496685822794
"GEORGE B STEVENSON","PA00914","72h",25,0.96,1.6874402904087
"GEORGE B STEVENSON","PA00914","72h",50,0.98,1.9309177799134
