state,facility_id,lat,lon,covered,atlas,volume,version,project_area,series_type,units,n_durations,durations
WY,WY83004,41.9675,-110.6583,True,14.0,12.0,2.0,Interior Northwest,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
WY,WY01143,44.948889,-109.153056,True,14.0,12.0,2.0,Interior Northwest,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
OR,OR00266,44.81483078,-123.0326309,False,,,,"NONE (NOAA Atlas 2, 1973)",,,0,
OR,OR00417,44.90885925,-122.7760162,False,,,,"NONE (NOAA Atlas 2, 1973)",,,0,
OR,OR01730,45.6349,-121.2249,False,,,,"NONE (NOAA Atlas 2, 1973)",,,0,
OR,OR01925,45.0437088,-123.09832763,False,,,,"NONE (NOAA Atlas 2, 1973)",,,0,
OR,OR03772,42.80165863,-124.4847183,False,,,,"NONE (NOAA Atlas 2, 1973)",,,0,
OR,OR02408,44.168,-119.8958,False,,,,"NONE (NOAA Atlas 2, 1973)",,,0,
OR,OR00652,45.5601387,-117.9392166,False,,,,"NONE (NOAA Atlas 2, 1973)",,,0,
OR,OR00395,42.37558,-122.624594,False,,,,"NONE (NOAA Atlas 2, 1973)",,,0,
OR,OR00731,44.45743942,-118.775238,False,,,,"NONE (NOAA Atlas 2, 1973)",,,0,
OR,OR00256,43.27951812,-117.606102,False,,,,"NONE (NOAA Atlas 2, 1973)",,,0,
WA,WA00480,46.7215,-119.0344,False,,,,"NONE (NOAA Atlas 2, 1973)",,,0,
WA,WA00423,47.238839,-122.163482,False,,,,"NONE (NOAA Atlas 2, 1973)",,,0,
WA,WA00355,45.732924,-121.755418,False,,,,"NONE (NOAA Atlas 2, 1973)",,,0,
WA,WA00618,47.467583,-122.317944,False,,,,"NONE (NOAA Atlas 2, 1973)",,,0,
WA,WA00294,46.70515368,-122.812207,False,,,,"NONE (NOAA Atlas 2, 1973)",,,0,
WA,WA00721,48.14800401,-117.2220107,False,,,,"NONE (NOAA Atlas 2, 1973)",,,0,
WA,WA01017,47.308518,-120.314486,False,,,,"NONE (NOAA Atlas 2, 1973)",,,0,
WA,WA00583,46.279131,-119.685641,False,,,,"NONE (NOAA Atlas 2, 1973)",,,0,
WA,WA00645,47.122666,-119.161144,False,,,,"NONE (NOAA Atlas 2, 1973)",,,0,
WA,WA00291,48.5592,-119.7456,False,,,,"NONE (NOAA Atlas 2, 1973)",,,0,
